Категорія: Усі категорії

Тиждень,Відключення світла: (Україна)
2023-01-01,41
2023-01-08,87
2023-01-15,94
2023-01-22,100
2023-01-29,98
2023-02-05,80
2023-02-12,22
2023-02-19,5
2023-02-26,2
2023-03-05,3
2023-03-12,2
2023-03-19,1
2023-03-26,1
2023-04-02,1
2023-04-09,1
2023-04-16,1
2023-04-23,1
2023-04-30,1
2023-05-07,2
2023-05-14,2
2023-05-21,2
2023-05-28,2
2023-06-04,2
2023-06-11,2
2023-06-18,1
2023-06-25,1
2023-07-02,1
2023-07-09,1
2023-07-16,1
2023-07-23,1
2023-07-30,1
2023-08-06,1
2023-08-13,1
2023-08-20,1
2023-08-27,1
2023-09-03,1
2023-09-10,2
2023-09-17,2
2023-09-24,3
2023-10-01,2
2023-10-08,4
2023-10-15,7
2023-10-22,2
2023-10-29,2
2023-11-05,2
2023-11-12,2
2023-11-19,2
2023-11-26,2
2023-12-03,2
2023-12-10,2
2023-12-17,1
2023-12-24,1
2023-12-31,1
