Категорія: Усі категорії

Тиждень,Відключення світла: (Україна)
2023-12-31,<1
2024-01-07,1
2024-01-14,<1
2024-01-21,<1
2024-01-28,<1
2024-02-04,<1
2024-02-11,<1
2024-02-18,<1
2024-02-25,<1
2024-03-03,<1
2024-03-10,<1
2024-03-17,1
2024-03-24,2
2024-03-31,1
2024-04-07,1
2024-04-14,1
2024-04-21,1
2024-04-28,<1
2024-05-05,1
2024-05-12,29
2024-05-19,33
2024-05-26,14
2024-06-02,51
2024-06-09,26
2024-06-16,44
2024-06-23,73
2024-06-30,79
2024-07-07,88
2024-07-14,100
2024-07-21,65
2024-07-28,18
2024-08-04,4
2024-08-11,2
2024-08-18,21
2024-08-25,77
2024-09-01,62
2024-09-08,13
2024-09-15,4
2024-09-22,2
2024-09-29,2
2024-10-06,1
2024-10-13,1
2024-10-20,1
2024-10-27,1
2024-11-03,1
2024-11-10,3
2024-11-17,71
2024-11-24,72
2024-12-01,75
2024-12-08,74
2024-12-15,53
2024-12-22,30
2024-12-29,10
